2018-04-17 14:12:42,777 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-17 14:17:06,967 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.xwtec.cn:etonmall_h5:0.0.1 @ F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\pom.xml.
2018-04-17 14:17:07,251 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 14:17:07,293 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 14:17:13,585 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /etonmall_h5/src/main/java
2018-04-17 14:17:13,586 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /etonmall_h5/src/main/java overlaps with sources folder /etonmall_h5/src/main/java
2018-04-17 14:17:13,604 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /etonmall_h5/src/main/resources
2018-04-17 14:17:13,606 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /etonmall_h5/src/test/java
2018-04-17 14:17:41,728 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 14:17:42,221 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 14:17:48,047 [Worker-8] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 43 sec
2018-04-17 14:18:13,310 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 14:18:13,315 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 14:18:15,205 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:18:15,264 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 15 resources
2018-04-17 14:18:15,495 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 17 resources
2018-04-17 14:18:15,577 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:18:15,578 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:20:56,027 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:20:56,033 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-17 14:20:56,036 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-17 14:20:56,038 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-17 14:20:56,039 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\src\test\resources
2018-04-17 14:21:36,841 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.xwtec.cn:etonmall_h5:0.0.1 @ F:\Learning\Java\xwtec\o2opay-web\etonmall_h5\pom.xml.
2018-04-17 14:21:36,986 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-04-17 14:21:36,991 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:dubbo:jar:2.8.4 is missing, no dependency information available
2018-04-17 14:21:37,883 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.alibaba:druid:jar:1.0.25 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
